商品名称,店铺名,商品售价,商品分类,佣金比例,销量,销量环比,总销量,总销售额,销售额,商品上架时间,店铺总销量
Mayaaa Cushion คุชชั่นมายา คุชชั่นแม่น้องแฝด คุชชั่นเมพรีมายา  (แบบซอง) SPF 30 PA +++,Mayaaa Cosmetics,฿75.00,美妆个护-美妆-遮瑕与粉底,10%,63299,1568.4%,131025,9363062.23,4184423.26,2024-06-05 19:30:45,241148
[ขายดี!]แมสก์ 3D Wallias Mask 3D สำหรับผู้ใหญ่ หน้ากากอนามัยทางการแพทย์ 3D ป้องกันฝุ่น PM2.5 หน้ากากอนามัย ได้ดีเยี่ยม กระชับใบหน้า ไม่รัดใบหู ตัวขายดีของทางร้าน,Cosmycare,฿30.00,美妆个护-美容护肤-面部护理工具,6%,62422,3710.87%,67000,2010000,1872660,2025-09-25 19:37:50,278735
น้ำหอมผู้หญิง (แบรนด์ Enchant ของแท้ 100%) กลิ่น Enchant โปร 1 แถม 1 ขนาด 25ml วานิลาไวท์ช็อก เซ็กซี่ (น้ำหอมนำเข้าจากฝรั่งเศส),Enchant.OfficiaI,฿221.00,美妆个护-香水-香水,20%,61626,2861.36%,313740,59664727.53,11647314,2023-09-11 10:41:27,1416166
"แท่งอายแชโดว์สามสี, ความงามที่เปล่งปลั่ง, กลิตเตอร์ไล่โทนสี, ปากกาอายแชโดว์สามสีหนึ่งเช็ด, เหมาะสำหรับผู้เริ่มต้น, ผิวด้านและชิมเมอร์",JIYKOL,฿71.63,美妆个护-美妆-眼影,15%,59555,-21.58%,411955,24610278.56,3511486.2,2025-05-12 05:48:32,694916
1กล่องx10ชิ้น COLORKEY LUMINOUS FACIAL MASK แผ่นมาส์กบำรุงผิวหน้า 4 สูตร โปรวิตามิน B5 พลัส [พร้อมส่งจากไทย],COLORKEY THAILAND,฿184.00,美妆个护-美容护肤-面膜,1%,55599,66.26%,106099,16873038.48,8840241,2025-06-02 06:52:29,281484
ลิปดูโอ้ ฉ่ำ จูบไม่หลุด KATHY AMREZ LIP DUO MATTE & SHINE FIX,Kathy Cosmetics,฿302.60,美妆个护-美妆-口红与唇彩,15%,55115,89.4%,585915,132780387.9,14471801.68,2022-08-02 12:52:00,3967577
ครีมฟิลเลอร์คุณโจ้ ครีมซองคุณโจ้ NA-NA ครีมซองแดง คุณโจ้,NAWANNA เพจบริษัท,฿213.00,美妆个护-美容护肤-保湿乳液、乳霜与喷雾,30%,54956,181.32%,142856,28978601.07,10936244,2023-11-08 03:23:27,910669
Prettygirl C&E Body Hyaluronic Acid Whitening Serum 300ml,Pretty Girl Thailand,฿84.00,美妆个护-洗浴与身体护理-身体霜、乳,1%,54654,2851.08%,64586,5115733,4317666,2025-05-30 15:18:59,359358
น้ำหอมผู้หญิง ปริมาณ 35 ml หอมฟุ้งกระจาย ติดทนนาน,ทาสหอม,฿58.00,美妆个护-香水-男女通用香水,5%,53333,35.17%,675700,31616040.07,2666650,2023-12-02 11:06:22,1514796
สติกเกอร์ฮาโลวีนสำหรับเด็ก น่ารักและสยอง กันน้ำ สำหรับแต่งหน้าเล่นคอสเพลย์และตกแต่งโทรศัพท์กระเป๋าเดินทางแก้ว สติกเกอร์ติดผิวชั่วคราว กันน้ำ ลอกออกง่าย เหมาะสำหรับงานคอสเพลย์ฮาโลวีนและตกแต่งปาร์ตี้,H.Y MZ,฿18.00,美妆个护-美妆-纹身贴,12%,53119,169.9%,72800,2433389.9,2098818,2025-09-04 14:22:14,241260
ถุงมือสครับผิว Be Better ถุงมืออาบน้ำ,Be Better,฿129.00,美妆个护-洗浴与身体护理-洗澡工具,10%,53109,62.42%,123518,13408858.48,5788881,2022-06-29 17:01:00,617917
แผ่นมาส์กหน้า มาส์กหน้าSADOER มาส์กหน้า ยอดนิยม Mask face mask ตัวเลือกต่างๆ Skincare,Discount Mall Go,฿5.02,美妆个护-美容护肤-面膜,10%,52554,-76.07%,3925051,16720717.26,223880.04,2024-03-15 01:03:35,4513989
【PGM】 GMEELAN เจลผลัดเซลล์ผิวหน้า 50g. ช่วยทําความสะอาดอย่างล้ำลึก และคงความชุ่มชื่น,GMEELAN Skincare Store,฿65.98,美妆个护-美容护肤-洗面乳,1%,50893,-48.55%,294865,26780616.64,3005019.35,2024-06-28 23:17:16,1285211
MGI shop : เซรั่มทองคำ 24k จำนวน 1 ขวด,MGIshop,฿73.00,美妆个护-美容护肤-面部精华液,5%,50163,194.87%,134810,11427933.63,4344340,2025-04-23 11:00:21,4090804
